,사고번호,사고일시,요일,도로종류,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,연령대,가해연령대
2273,2021122900100097,9,수요일,경부,경기도,부상신고사고,0,0,0,1,차대차 - 기타,기타,-,맑음,단일로 - 기타,기타불명,2,0,기타불명,승용,0,46,부상신고,20.0,20.0
2274,2021122900100356,17,수요일,경부,충청남도,중상사고,0,2,2,0,차대차 - 추돌,안전운전불이행,-,맑음,단일로 - 기타,화물,0,52,상해없음,승용,0,45,중상,50.0,50.0
2275,2021122900100548,22,수요일,경부,충청북도,경상사고,0,0,1,0,차대차 - 후진중충돌,안전운전불이행,-,맑음,주차장 - 주차장,화물,0,65,상해없음,화물,0,60,경상,60.0,60.0
2276,2021123000100275,15,목요일,경부,서울특별시,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,-,맑음,단일로 - 기타,승용,1,34,상해없음,화물,0,56,경상,30.0,30.0
2277,2021123000100520,20,목요일,경부,경기도,경상사고,0,0,1,0,차대차 - 추돌,기타,-,맑음,단일로 - 기타,승용,0,41,상해없음,화물,0,57,경상,,
2278,2021123000100550,21,목요일,경부,부산광역시,사망사고,1,0,0,0,차대차 - 기타,안전운전불이행,-,맑음,단일로 - 기타,승용,0,48,상해없음,승용,0,46,사망,40.0,40.0
2279,2021123100100014,2,금요일,경부,서울특별시,부상신고사고,0,0,0,1,차대차 - 추돌,안전운전불이행,-,맑음,단일로 - 기타,승용,1,20,부상신고,승용,1,42,상해없음,20.0,20.0
2280,2021123100100289,15,금요일,경부,경기도,경상사고,0,0,12,12,차대차 - 추돌,안전운전불이행,-,맑음,기타 - 기타,승합,0,43,상해없음,승합,0,54,상해없음,40.0,40.0
2281,2019032900100392,15,금요일,경부진입로,대구광역시,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,0,38,상해없음,승용,1,42,경상,30.0,30.0
2282,2019092200100286,15,일요일,경부진입로,대구광역시,사망사고,1,2,15,0,차량단독 - 공작물충돌,과속,포장 - 젖음/습기,맑음,단일로 - 기타,승합,0,45,상해없음,기타불명,2,0,기타불명,40.0,40.0
